PLAYER,SKATER SHOOTS,POSITION,GAMES PLAYED,GOALS,ASSISTS,POINTS,PENALTY MINUTES,SHOTS,SHOOTING PERCENTAGE,TEAM ID
Declan Chisholm,L,D,66,2,10,12,10,69,2.9,MIN
Henry Thrun,L,D,60,2,10,12,30,52,3.9,SJS
Brandon Carlo,R,D,83,1,11,12,37,77,1.3,"BOS,TOR"
Anthony Duclair,L,L,44,7,4,11,10,60,11.7,NYI
Aatu Raty,L,C,33,7,4,11,14,34,20.6,VAN
Alexandre Texier,L,L,31,6,5,11,10,50,12,STL
Jakub Lauko,L,C,56,5,6,11,47,42,11.9,"MIN,BOS"
Collin Graf,R,R,33,5,6,11,8,40,12.5,SJS
William Carrier,L,L,43,4,7,11,16,48,8.3,CAR
Sean Durzi,R,D,30,4,7,11,19,39,10.3,UTA
Kyle MacLean,L,C,81,4,7,11,14,61,6.6,NYI
Elmer Soderblom,L,L,26,4,7,11,6,38,10.5,DET
John Beecher,L,C,78,3,8,11,26,44,6.8,BOS
Derek Forbort,L,D,54,2,9,11,45,39,5.1,VAN
Zachary Jones,L,D,46,1,10,11,24,51,2,NYR
Matthew Poitras,R,C,33,1,10,11,8,29,3.5,BOS
Brett Berard,L,L,35,6,4,10,8,59,10.2,NYR
Adam Klapka,R,R,31,6,4,10,29,44,13.6,CGY
Vincent Hinostroza,R,C,38,5,5,10,10,48,10.4,"NSH,MIN"
Kevin Rooney,L,C,70,5,5,10,14,54,9.3,CGY
Jordan Oesterle,L,D,37,4,6,10,4,38,10.5,"BOS,NSH"
Jesse Puljujarvi,R,R,31,4,6,10,25,50,8,"PIT,FLA"
Beck Malenstyn,L,L,76,4,6,10,29,67,6,BUF
Nathan Bastian,R,R,59,4,6,10,31,44,9.1,NJD
Connor Dewar,L,C,48,4,6,10,14,55,7.3,"TOR,PIT"
Tyler Kleven,L,D,79,4,6,10,27,78,5.1,OTT
Jack Thompson,R,D,31,4,6,10,10,41,9.8,SJS
Dennis Cholowski,L,D,39,3,7,10,10,30,10,"NYI,NJD"
Henri Jokiharju,R,D,60,3,7,10,14,59,5.1,"BUF,BOS"
TJ Brodie,L,D,54,2,8,10,18,23,8.7,CHI
Mathew Dumba,R,D,63,1,9,10,60,57,1.8,DAL
Simon Benoit,L,D,78,1,9,10,59,48,2.1,TOR
Kaedan Korczak,R,D,40,0,10,10,2,34,0,VGK
Marc Gatcomb,R,C,39,8,1,9,11,41,19.5,NYI
Adam Edstrom,L,C,51,5,4,9,27,40,12.5,NYR
Cam Atkinson,R,R,39,4,5,9,11,47,8.5,TBL
Tyler Motte,L,C,55,4,5,9,6,66,6.1,DET
Tyson Jost,L,C,39,4,5,9,33,44,9.1,CAR
Lian Bichsel,L,D,38,4,5,9,41,39,10.3,DAL
Scott Mayfield,R,D,66,3,6,9,27,51,5.9,NYI
Carl Grundstrom,L,R,56,3,6,9,24,88,3.4,SJS
Jan Rutta,R,D,54,3,6,9,28,55,5.5,SJS
Albert Johansson,L,D,61,3,6,9,30,48,6.3,DET
Joel Hanley,L,D,53,2,7,9,21,42,4.8,CGY
Jonas Siegenthaler,L,D,55,2,7,9,44,52,3.9,NJD
Scott Perunovich,L,D,35,2,7,9,10,18,11.1,"STL,NYI"
Marc Del Gaizo,L,D,46,2,7,9,21,76,2.6,NSH
Shakir Mukhamadullin,L,D,30,2,7,9,8,30,6.7,SJS
Daniil Miromanov,R,D,44,2,7,9,12,52,3.9,CGY
Tomas Nosek,L,L,59,1,8,9,10,47,2.1,FLA
Josh Mahura,L,D,64,0,9,9,20,58,0,SEA
Barclay Goodrow,L,C,77,5,3,8,75,73,6.9,SJS
Jimmy Vesey,L,L,43,5,3,8,0,36,13.9,"NYR,COL"
Rasmus Kupari,R,C,59,5,3,8,16,53,9.4,WPG
Ivan Ivan,L,C,40,5,3,8,8,34,14.7,COL
Brock McGinn,L,L,26,4,4,8,0,30,13.3,ANA
Miles Wood,L,L,37,4,4,8,48,60,6.7,COL
Wyatt Kaiser,L,D,57,4,4,8,14,66,6.1,CHI
Seamus Casey,R,D,14,4,4,8,0,12,33.3,NJD
Jordan Greenway,L,L,34,3,5,8,45,36,8.3,BUF
Erik Brannstrom,L,D,28,3,5,8,17,33,9.1,VAN
Matt Rempe,R,C,42,3,5,8,67,30,10,NYR
Justin Holl,R,D,73,2,6,8,16,41,4.9,DET
Justin Kirkland,L,C,21,2,6,8,11,9,22.2,CGY
Jacob Bernard-Docker,R,D,40,2,6,8,17,32,6.3,"OTT,BUF"
Luca Del Bel Belluz,L,C,15,2,6,8,0,18,11.1,CBJ
Victor Mancini,R,D,31,2,6,8,10,27,7.4,"NYR,VAN"
Jeff Petry,R,D,44,1,7,8,16,33,3,DET
Jacob Moverare,L,D,49,1,7,8,10,30,3.3,LAK
Ty Dellandrea,R,C,68,1,7,8,59,50,2,SJS
Jake Christiansen,L,D,68,1,7,8,11,58,1.7,CBJ
Cole Schwindt,R,R,42,1,7,8,0,32,3.1,VGK
Nolan Allan,L,D,43,1,7,8,16,17,5.9,CHI
Calvin de Haan,L,D,47,0,8,8,12,51,0,"COL,NYR"
Hendrix Lapierre,L,C,27,0,8,8,4,18,0,WSH
Luke Glendening,R,C,77,4,3,7,10,51,7.8,TBL
Anthony Mantha,L,R,13,4,3,7,11,15,26.7,CGY
Sam Lafferty,R,C,60,4,3,7,28,50,8,BUF
Noah Gregor,L,L,52,4,3,7,28,60,6.7,"OTT,SJS"
Mikael Pyyhtia,L,L,47,4,3,7,6,32,12.5,CBJ
Samuel Helenius,L,C,50,4,3,7,25,29,13.8,LAK
Ethen Frank,R,C,24,4,3,7,6,23,17.4,WSH
Hampus Lindholm,L,D,17,3,4,7,4,35,8.6,BOS
Troy Stecher,R,D,66,3,4,7,27,55,5.5,EDM
Tyler Tucker,L,D,38,3,4,7,55,33,9.1,STL
Max Sasson,L,C,29,3,4,7,0,31,9.7,VAN
Justin Dowling,L,C,52,2,5,7,6,34,5.9,NJD
Daniel Sprong,R,R,30,2,5,7,2,55,3.6,"VAN,SEA,NJD"
Jake Bean,L,D,64,2,5,7,8,71,2.8,CGY
Vladislav Kolyachonok,L,D,35,2,5,7,10,20,10,"UTA,PIT"
